player_name,team,season,points,rebounds,assists,turnovers,minutes,fg_pct,plus_minus,playoffs_flag
Precious Achiuwa,NYK,2025,6.6,5.6,1.0,0.8,20.5,0.502,0.0,False
Steven Adams,HOU,2025,3.9,5.6,1.1,0.9,13.7,0.545,0.0,False
Bam Adebayo,MIA,2025,18.1,9.6,4.3,2.1,34.3,0.485,0.0,False
Ochai Agbaji,TOR,2025,10.4,3.8,1.5,0.8,27.2,0.498,0.0,False
Santi Aldama,MEM,2025,12.5,6.4,2.9,1.1,25.5,0.483,0.0,False
Nickeil Alexander-Walker,MIN,2025,9.4,3.2,2.7,1.2,25.3,0.438,0.0,False
Trey Alexander,DEN,2025,1.3,0.5,0.5,0.2,4.9,0.317,0.0,False
Grayson Allen,PHO,2025,10.6,3.0,2.1,1.2,24.1,0.448,0.0,False
Jarrett Allen,CLE,2025,13.5,9.7,1.9,1.2,28.0,0.706,0.0,False
Jose Alvarado,NOP,2025,10.3,2.4,4.6,1.5,24.4,0.392,0.0,False
Kyle Anderson,2TM,2025,5.9,3.4,2.4,0.6,16.4,0.469,0.0,False
Kyle Anderson,GSW,2025,5.3,3.1,2.3,0.6,15.0,0.45,0.0,False
Kyle Anderson,MIA,2025,6.7,3.8,2.6,0.7,18.4,0.493,0.0,False
Giannis Antetokounmpo,MIL,2025,30.4,11.9,6.5,3.1,34.2,0.601,0.0,False
Cole Anthony,ORL,2025,9.4,3.0,2.9,1.5,18.4,0.424,0.0,False
OG Anunoby,NYK,2025,18.0,4.8,2.2,1.4,36.6,0.476,0.0,False
Armel Traoré,LAL,2025,1.6,1.7,0.1,0.3,7.4,0.316,0.0,False
Deni Avdija,POR,2025,16.9,7.3,3.9,2.7,30.0,0.476,0.0,False
Deandre Ayton,POR,2025,14.4,10.2,1.6,1.7,30.2,0.566,0.0,False
Marvin Bagley III,2TM,2025,4.4,2.7,0.4,0.4,8.5,0.519,0.0,False
Marvin Bagley III,WAS,2025,4.9,2.9,0.4,0.6,8.7,0.535,0.0,False
Marvin Bagley III,MEM,2025,3.6,2.3,0.3,0.1,8.3,0.486,0.0,False
Marcus Bagley,PHI,2025,6.7,7.0,1.0,0.7,25.3,0.391,0.0,False
Patrick Baldwin Jr.,2TM,2025,2.2,1.0,0.1,0.2,4.5,0.543,0.0,False
Patrick Baldwin Jr.,WAS,2025,2.1,1.0,0.1,0.2,4.6,0.515,0.0,False
Patrick Baldwin Jr.,LAC,2025,3.0,1.5,0.5,0.0,3.0,1.0,0.0,False
LaMelo Ball,CHO,2025,25.2,4.9,7.4,3.6,32.0,0.405,0.0,False
Lonzo Ball,CHI,2025,7.6,3.4,3.3,1.2,22.2,0.366,0.0,False
Mo Bamba,2TM,2025,4.3,4.5,0.6,0.6,12.9,0.464,0.0,False
Mo Bamba,LAC,2025,4.6,4.3,0.6,0.7,12.6,0.466,0.0,False
Mo Bamba,NOP,2025,2.5,6.3,0.5,0.3,15.3,0.444,0.0,False
Paolo Banchero,ORL,2025,25.9,7.5,4.8,3.0,34.4,0.452,0.0,False
Desmond Bane,MEM,2025,19.2,6.1,5.3,2.4,32.0,0.484,0.0,False
Dalano Banton,POR,2025,8.3,2.0,2.4,1.3,16.7,0.391,0.0,False
Dominick Barlow,ATL,2025,4.2,2.4,0.5,0.1,10.7,0.531,0.0,False
Harrison Barnes,SAS,2025,12.3,3.8,1.7,0.6,27.2,0.508,0.0,False
Scottie Barnes,TOR,2025,19.3,7.7,5.8,2.8,32.8,0.446,0.0,False
RJ Barrett,TOR,2025,21.1,6.3,5.4,2.8,32.2,0.468,0.0,False
Charles Bassey,SAS,2025,4.4,4.2,0.5,0.6,10.4,0.581,0.0,False
Emoni Bates,CLE,2025,3.7,0.7,0.8,0.2,7.5,0.342,0.0,False
Jamison Battle,TOR,2025,7.1,2.7,0.9,0.5,17.7,0.429,0.0,False
Nicolas Batum,LAC,2025,4.0,2.8,1.1,0.4,17.5,0.437,0.0,False
Damion Baugh,CHO,2025,7.3,3.3,3.7,2.1,24.7,0.323,0.0,False
Bradley Beal,PHO,2025,17.0,3.3,3.7,1.9,32.1,0.497,0.0,False
Malik Beasley,DET,2025,16.3,2.6,1.7,1.0,27.8,0.43,0.0,False
MarJon Beauchamp,3TM,2025,2.3,1.3,0.3,0.4,4.5,0.415,0.0,False
MarJon Beauchamp,MIL,2025,2.0,1.2,0.3,0.5,4.7,0.383,0.0,False
MarJon Beauchamp,LAC,2025,4.0,1.0,0.7,0.3,5.7,0.571,0.0,False
